Location,Temperature,Humidity,RainToday
Albury,14.3,74,Yes
Albury,11.6,87,No
Albury,15.2,61,Yes
Albury,17.5,57,No
Albury,15.5,70,Yes
Albury,13.6,57,Yes
Albury,15.6,58,No
Albury,16.4,61,No
Albury,18.4,51,No
Albury,14.8,85,No
Albury,14.1,57,Yes
Albury,18.9,67,Yes
Albury,17.1,52,Yes
Albury,12.8,53,Yes
Albury,14.4,56,Yes
Albury,16.7,49,No
Albury,18.6,51,No
Albury,17.9,80,Yes
Albury,11.1,57,Yes
Albury,14.2,72,Yes
Albury,14.2,58,Yes
Albury,16.8,45,No
Albury,20.7,54,No
Albury,16.9,58,Yes
Albury,15,54,No
Albury,16.6,47,No
Albury,17.6,53,No
Albury,16.5,59,No
Albury,14.3,67,No
Albury,24.7,39,No
Albury,25.1,25,No
Albury,17.8,29,No
Albury,17.2,44,No
Albury,21.1,39,No
Albury,19,73,No
Albury,20.4,54,Yes
Albury,20.6,46,No
Albury,18.9,50,No
Albury,19,50,No
Albury,20.2,55,Yes
Albury,16.8,54,Yes
Albury,18.2,55,Yes
Albury,20.6,57,No
Albury,12.2,72,Yes
Albury,12.9,72,Yes
Albury,17.9,56,No
Albury,17,49,No
Albury,21.4,36,No
Albury,21.1,61,No
Albury,22,55,No
Albury,13.5,75,Yes
Albury,16.2,75,Yes
Albury,19.7,47,No
Albury,16.2,77,No
Albury,15.9,42,Yes
Albury,16.3,43,No
Albury,18.2,39,No
Albury,19,36,No
Albury,18.7,50,No
Albury,23.3,64,No
Albury,17.7,71,Yes
Albury,15.1,60,Yes
Albury,15.7,84,Yes
Albury,16.6,56,Yes
Albury,19.2,46,No
Albury,20.3,50,No
Albury,22.7,38,No
Albury,26.6,31,No
Albury,27.1,44,No
Albury,27.1,38,No
Albury,23.9,26,No
Albury,25.4,28,No
Albury,23.1,34,No
Albury,22,38,No
Albury,24.1,43,No
Albury,26.8,41,No
Albury,26.9,50,No
Albury,29.1,46,No
Albury,30.8,38,No
Albury,34,35,No
Albury,32.4,47,No
Albury,24.3,39,No
Albury,23.2,27,No
Albury,25.3,28,No
Albury,27.9,32,No
Albury,29.8,27,No
Albury,31.8,29,No
Albury,33.4,29,No
Albury,35.2,23,No
Albury,36,18,No
Albury,35.1,18,No
Albury,32.8,22,No
Albury,35.4,25,No
Albury,36.3,16,No
Albury,35.1,20,No
Albury,30.5,18,No
Albury,33.5,18,No
Albury,39.7,11,No
Albury,38.2,21,No
Albury,21,91,Yes
Albury,28.3,67,Yes
Albury,23.6,37,No
Albury,25.8,40,No
Albury,32.9,36,No
Albury,34.5,70,No
Albury,26.2,56,Yes
Albury,26.4,27,No
Albury,22.3,54,Yes
Albury,23.9,35,Yes
Albury,23.6,31,No
Albury,27,29,No
Albury,31.5,16,No
Albury,27.5,7,No
Albury,26.7,22,No
Albury,30.7,23,No
Albury,31.9,19,No
Albury,24.9,45,No
Albury,25.4,24,Yes
Albury,27.4,26,No
Albury,22.6,30,No
Albury,26.5,31,No
Albury,29.6,27,No
Albury,32,25,No
Albury,34.7,22,No
Albury,38.6,8,No
Albury,40.3,28,No
Albury,26.4,19,Yes
Albury,29.2,23,No
Albury,31.3,21,No
Albury,33.7,10,No
Albury,36.6,10,No
Albury,38.2,12,No
Albury,34.6,29,No
Albury,28.3,49,Yes
Albury,31.3,34,No
Albury,27.3,74,No
Albury,35.9,23,No
Albury,35.9,24,No
Albury,36.8,15,No
Albury,33.2,35,No
Albury,31.9,40,Yes
Albury,29.1,48,Yes
Albury,29.7,32,No
Albury,32.8,24,No
Albury,35.8,13,No
Albury,33.8,7,No
Albury,33,17,No
Albury,36.4,19,No
Albury,39.8,19,No
Albury,42.2,8,No
Albury,42.2,15,No
Albury,42.4,12,No
Albury,28.4,79,No
Albury,31.7,28,Yes
Albury,36.3,20,No
Albury,36.6,11,No
Albury,25.6,24,No
Albury,22.6,30,No
Albury,25.2,27,No
Albury,32.9,15,No
Albury,37.3,18,No
Albury,41.8,9,No
Albury,35.4,9,No
Albury,33.7,22,No
Albury,35.8,8,No
Albury,35.9,10,No
Albury,36.4,14,No
Albury,34.4,8,No
Albury,35.2,14,No
Albury,36.5,22,No
Albury,36.3,16,No
Albury,38.2,19,No
Albury,34.3,24,Yes
Albury,35.6,23,No
Albury,32,44,No
Albury,26.1,70,Yes
Albury,30.3,38,Yes
Albury,33.9,32,No
Albury,34,32,No
Albury,35.1,37,No
Albury,35.6,28,NaN
Albury,35,35,No
Albury,29.1,67,NaN
Albury,27.1,59,No
Albury,30.3,43,No
Albury,26.8,44,No
Albury,29,34,No
Albury,30.6,30,No
Albury,31.2,24,NaN
Albury,30.3,34,No
Albury,31.8,35,No
Albury,34.7,59,No
Albury,26.4,70,Yes
Albury,26.1,34,No
Albury,28.5,35,No
Albury,31,33,No
Albury,NaN,28,No
Albury,26.3,62,NaN
Albury,29.3,45,Yes
Albury,NaN,35,No
Albury,28.5,23,NaN
Albury,31.2,26,No
Albury,NaN,35,No
Albury,22.3,93,No
Albury,30.3,48,Yes
Albury,22.9,82,Yes
Albury,25.5,38,Yes
Albury,22.4,67,Yes
Albury,NaN,35,No
Albury,24.4,40,NaN
Albury,25,40,No
Albury,25.7,44,No
Albury,26.3,37,No
Albury,26.6,38,No
Albury,28.6,28,No
Albury,29.6,35,No
Albury,30.4,36,No
Albury,31.4,31,No
Albury,31.9,36,No
Albury,25.6,46,No
Albury,25.3,36,No
Albury,27,23,No
Albury,28.8,31,No
Albury,29.6,32,No
Albury,30,32,No
Albury,30.2,32,No
Albury,28.7,41,No
Albury,26.3,61,Yes
Albury,26.9,44,No
Albury,26.1,42,No
Albury,25.8,44,No
Albury,25.1,42,No
Albury,24.8,41,No
Albury,24.8,37,No
Albury,25.3,38,No
Albury,24.7,40,No
Albury,23.4,69,Yes
Albury,23.1,53,Yes
Albury,21.9,55,No
Albury,18.6,79,No
Albury,18.7,43,Yes
Albury,17.4,54,No
Albury,19.9,49,No
Albury,21.9,49,No
Albury,23.5,40,No
Albury,24.7,45,No
Albury,25.4,38,No
Albury,25.1,47,No
Albury,25.9,46,No
Albury,25.2,49,No
Albury,27.5,44,No
Albury,27.3,40,No
Albury,29,34,No
Albury,19.8,86,Yes
Albury,18.5,40,Yes
Albury,17.9,49,No
Albury,16.1,58,No
Albury,17.3,50,Yes
Albury,17.7,69,No
Albury,19.1,53,No
Albury,21.1,46,No
Albury,20.7,47,No
Albury,23,39,No
Albury,25.3,29,No
Albury,14.5,51,Yes
Albury,15.3,68,No
Albury,17.5,56,No
Albury,19.3,59,No
Albury,19.5,54,No
Albury,19.8,47,No
Albury,15.6,47,No
Albury,14.9,48,No
Albury,17.1,55,No
Albury,17.7,46,No
Albury,18.4,44,No
Albury,17.5,51,No
Albury,17,50,No
Albury,19.7,38,No
Albury,18.5,39,No
Albury,16.5,44,No
Albury,17.9,42,No
Albury,17.1,45,No
Albury,18.1,35,No
Albury,16.3,73,No
Albury,14.9,99,Yes
Albury,19,50,Yes
Albury,16.6,59,No
Albury,17,63,No
Albury,15,89,Yes
Albury,20.2,47,Yes
Albury,19.1,48,No
Albury,16.6,58,No
Albury,17.7,60,No
Albury,17.7,50,No
Albury,18.4,53,No
Albury,10.2,84,No
Albury,15.8,61,No
Albury,14,50,No
Albury,12.2,49,No
Albury,8.4,92,No
Albury,12.9,57,Yes
Albury,13.2,66,No
Albury,13.3,51,No
Albury,13.1,47,No
Albury,13.2,50,No
Albury,12.8,65,No
Albury,15.5,73,No
Albury,16.2,65,Yes
Albury,12.2,70,Yes
Albury,15.2,66,Yes
Albury,13.1,86,No
Albury,12.5,83,No
Albury,14.8,61,No
Albury,16.5,52,No
Albury,17,56,No
Albury,16.1,95,No
Albury,12.1,71,Yes
Albury,11.9,54,No
Albury,8.3,70,No
Albury,9.4,57,No
Albury,9.8,78,No
Albury,11.9,67,Yes
Albury,10.9,70,No
Albury,10.3,76,No
Albury,10.8,77,No
Albury,12.1,70,No
Albury,13.9,56,Yes
Albury,13.5,64,No
Albury,14.8,50,No
Albury,14.6,57,No
Albury,16.1,61,No
Albury,15.4,62,Yes
Albury,15.3,62,No
Albury,16.3,93,No
Albury,10,91,Yes
Albury,12.2,63,Yes
Albury,13.1,56,No
Albury,11.5,69,No
Albury,12.8,59,No
Albury,13.5,61,Yes
Albury,11.6,62,No
Albury,12.9,58,No
Albury,13.8,51,No
Albury,15.7,61,No
Albury,14.6,60,No
Albury,14.3,58,No
Albury,14.9,52,No
Albury,15,52,No
Albury,12.6,67,No
Albury,14.8,80,Yes
Albury,14.9,86,No
Albury,12.3,85,Yes
Albury,10.1,93,Yes
Albury,14.7,56,Yes
Albury,15.7,51,No
Albury,9.6,71,No
Albury,11.8,65,NaN
Albury,12.6,59,No
Albury,13.1,54,No
Albury,12.6,58,No
Albury,15.5,47,No
Albury,16,77,Yes
Albury,10.4,85,Yes
Albury,14.9,45,Yes
Albury,15,56,No
Albury,13,67,No
Albury,12.1,94,Yes
Albury,11.8,65,Yes
Albury,12.1,55,Yes
Albury,11.8,86,No
Albury,15.1,56,Yes
Albury,11.7,58,Yes
Albury,12.9,68,No
Albury,15.3,49,No
Albury,12.8,61,No
Albury,13.3,55,Yes
Albury,10.7,65,Yes
Albury,11.8,70,Yes
Albury,13.4,55,Yes
Albury,14.4,58,No
Albury,15.2,57,No
Albury,15.4,51,No
Albury,14.2,61,No
Albury,15.1,71,No
Albury,16.8,68,No
Albury,17.6,55,No
Albury,17.7,87,Yes
Albury,14.2,67,Yes
Albury,12.8,64,Yes
Albury,15.1,49,Yes
Albury,15.9,51,No
Albury,14.7,90,No
Albury,14,86,Yes
Albury,15.9,54,Yes
Albury,16.3,51,No
Albury,18.7,47,No
Albury,19,50,No
Albury,13.6,58,No
Albury,13.4,49,No
Albury,14.3,54,No
Albury,13.9,60,No
Albury,16.4,55,No
Albury,18.7,54,No
Albury,19.6,64,No
Albury,20.1,48,No
Albury,19.9,52,No
Albury,19.1,61,No
Albury,19.7,52,No
Albury,20.6,43,No
Albury,20,50,No
Albury,14.6,49,No
Albury,14.3,43,No
Albury,14.6,45,No
Albury,17.4,42,No
Albury,21.1,47,No
Albury,23,45,No
Albury,23.2,52,No
Albury,25.9,52,No
Albury,24.9,52,No
Albury,15.9,42,Yes
Albury,19,49,No
Albury,20.8,49,No
Albury,23.2,42,No
Albury,23.7,45,No
Albury,19.9,66,No
Albury,18,94,Yes
Albury,19.1,69,Yes
Albury,18.6,90,Yes
Albury,12.8,61,Yes
Albury,15.4,56,No
Albury,17.4,50,No
Albury,19,49,No
Albury,21.8,51,No
Albury,23.3,47,No
Albury,25.8,49,No
Albury,19,77,No
Albury,22.2,51,Yes
Albury,22.2,47,No
Albury,23.5,35,No
Albury,22.3,46,Yes
Albury,23.6,48,No
Albury,25.6,44,No
Albury,19.5,96,Yes
Albury,18.7,67,Yes
Albury,18.9,52,Yes
Albury,20.3,51,No
Albury,18,49,No
Albury,18.8,48,No
Albury,21,37,No
Albury,22.9,42,No
Albury,24.5,46,No
Albury,24.7,64,Yes
Albury,27.7,47,No
Albury,29,45,No
Albury,30.5,47,No
Albury,31.3,41,No
Albury,26.9,78,No
Albury,22.6,73,Yes
Albury,23.1,32,Yes
Albury,20.8,42,No
Albury,23.3,34,No
Albury,24.8,36,No
Albury,25.5,39,No
Albury,27.3,39,No
Albury,29.7,29,No
Albury,29.9,36,No
Albury,29.4,34,No
Albury,30.1,31,No
Albury,27.6,57,No
Albury,24.2,68,Yes
Albury,27.6,66,Yes
Albury,21.4,89,Yes
Albury,22.6,51,Yes
Albury,23.3,81,Yes
Albury,23.9,73,Yes
Albury,26.6,90,No
Albury,27.3,75,Yes
Albury,29.9,48,Yes
Albury,31.6,31,No
Albury,30.4,38,No
Albury,29.8,44,No
Albury,29.7,55,Yes
Albury,26.7,50,Yes
Albury,22.5,38,No
Albury,24.3,35,No
Albury,22.2,33,No
Albury,26.2,32,No
Albury,28.8,36,No
Albury,31.1,28,No
Albury,25.6,21,No
Albury,25.9,31,No
Albury,20.8,52,No
Albury,18,55,Yes
Albury,20.5,50,Yes
Albury,21.2,48,Yes
Albury,25.9,37,No
Albury,29.2,24,No
Albury,30.8,33,No
Albury,29.1,72,No
Albury,30,35,No
Albury,22.2,38,No
Albury,26.7,35,No
Albury,31,28,No
Albury,34,25,No
Albury,38.1,22,No
Albury,35.8,29,No
Albury,31.1,27,No
Albury,29.4,28,No
Albury,29.2,38,No
Albury,28.9,31,No
Albury,31.6,34,No
Albury,30.7,42,No
Albury,32,40,No
Albury,33,41,No
Albury,32,40,Yes
Albury,26.4,87,Yes
Albury,28.9,84,Yes
Albury,30.6,59,Yes
Albury,25.5,90,Yes
Albury,31.4,34,Yes
Albury,33.7,46,No
Albury,26.9,36,No
Albury,27.2,43,No
Albury,29.3,36,No
Albury,31.9,38,No
Albury,32.5,40,No
Albury,34.6,37,No
Albury,31.4,41,No
Albury,30.6,29,No
Albury,32,30,No
Albury,34.4,40,No
Albury,31.6,30,No
Albury,32.3,20,No
Albury,32,32,No
Albury,35.4,31,No
Albury,38.2,25,No
Albury,39.8,16,No
Albury,33.7,49,No
Albury,36,50,Yes
Albury,28.2,99,Yes
Albury,23,95,Yes
Albury,21.5,45,Yes
Albury,25.5,40,No
Albury,27.3,50,No
Albury,29.4,43,No
Albury,29.7,55,No
Albury,24.8,94,Yes
Albury,28.5,57,Yes
Albury,28.6,50,No
Albury,29.2,45,No
Albury,28,40,No
Albury,22,85,No
Albury,29.2,55,Yes
Albury,30.7,51,No
Albury,29,67,Yes
Albury,25.7,50,Yes
Albury,22.5,40,No
Albury,25.2,43,No
Albury,28,43,No
Albury,29.2,43,No
Albury,29.8,36,No
Albury,30.9,36,No
Albury,24.8,87,No
Albury,30,55,Yes
Albury,22.8,40,No
Albury,23.4,41,No
Albury,22.3,45,No
Albury,22.1,42,No
Albury,25,30,No
Albury,25.3,38,No
Albury,26.6,42,No
Albury,28.7,34,No
Albury,27,57,No
Albury,20.8,95,Yes
Albury,27,54,Yes
Albury,28.2,56,No
Albury,29.3,61,No
Albury,26.9,61,Yes
Albury,28.4,56,No
Albury,28.2,37,No
Albury,25.9,51,No
Albury,26.3,47,No
Albury,27.4,43,No
Albury,28.1,46,No
Albury,25.9,59,No
Albury,26.8,58,No
Albury,20.1,63,No
Albury,22,64,Yes
Albury,22.1,49,No
Albury,24.2,43,No
Albury,23,47,No
Albury,24.7,45,No
Albury,25.7,52,No
Albury,25.8,55,No
Albury,22.1,47,No
Albury,20.4,66,No
Albury,22.3,57,No
Albury,21.9,46,No
Albury,19,47,No
Albury,18.1,42,No
Albury,16.8,53,No
Albury,15.9,57,No
Albury,16.8,39,No
Albury,16.1,43,No
Albury,15.2,43,No
Albury,11,55,Yes
Albury,10.1,89,No
Albury,14.1,74,Yes
Albury,14.3,46,Yes
Albury,13.7,57,No
Albury,11.2,74,No
Albury,15.8,54,No
Albury,17.9,48,No
Albury,16,55,No
Albury,18.6,48,No
Albury,20.5,50,No
Albury,22,53,No
Albury,15,85,Yes
Albury,15.6,65,Yes
Albury,14.7,47,No
Albury,14.9,52,No
Albury,13.8,65,No
Albury,13.9,72,No
Albury,14.8,63,No
Albury,15.9,51,No
Albury,19.4,48,No
Albury,19.8,53,No
Albury,17.6,58,No
Albury,18.3,57,No
Albury,14.8,72,Yes
Albury,12,75,No
Albury,12.8,50,Yes
Albury,9.8,79,No
Albury,10.2,63,Yes
Albury,14.6,51,No
Albury,14,46,No
Albury,13.9,50,No
Albury,16.1,49,No
Albury,15.9,41,No
Albury,16.7,45,No
Albury,16.9,48,No
Albury,16.1,52,No
Albury,12.6,68,No
Albury,12.5,85,No
Albury,11.8,92,No
Albury,14.6,67,Yes
Albury,11.6,58,Yes
Albury,11.1,69,No
Albury,14.2,70,Yes
Albury,13.1,87,No
Albury,15.5,65,No
Albury,15.7,55,No
Albury,16.4,47,No
Albury,15.2,52,No
Albury,16.6,50,No
Albury,15.2,53,No
Albury,14.1,59,No
Albury,15.2,63,No
Albury,14.8,80,No
Albury,14.8,54,Yes
Albury,11.2,73,Yes
Albury,10.8,87,Yes
Albury,11.2,54,Yes
Albury,8.3,64,No
Albury,9.2,87,Yes
Albury,11,68,No
Albury,11.8,64,Yes
Albury,10.5,64,No
Albury,9.8,88,No
Albury,12.6,65,Yes
Albury,12.1,46,No
Albury,14.1,56,No
Albury,11.1,95,No
Albury,11,85,Yes
Albury,14.5,66,Yes
Albury,16.7,54,No
Albury,17.2,46,No
Albury,15.6,45,No
Albury,14.6,45,No
Albury,9.3,81,No
Albury,13.2,80,Yes
Albury,14.1,63,Yes
Albury,14.5,49,No
Albury,13.1,59,No
Albury,14.7,52,No
Albury,16.1,54,No
Albury,14.7,76,No
Albury,19,55,No
Albury,20.6,44,No
Albury,21.5,43,No
Albury,22.9,37,No
Albury,20.7,42,No
Albury,12.9,92,Yes
Albury,11.1,84,Yes
Albury,12.3,76,Yes
Albury,10.1,76,Yes
Albury,10.9,83,Yes
Albury,16.8,50,Yes
Albury,16.3,43,No
Albury,13.4,65,No
Albury,17.3,50,No
Albury,13.8,73,Yes
Albury,19.4,45,No
Albury,12.6,91,Yes
Albury,10.8,91,Yes
Albury,19.3,49,No
Albury,17.3,32,No
Albury,18,46,No
Albury,17.7,47,No
Albury,16.9,56,No
Albury,17.5,56,No
Albury,20.7,48,No
Albury,16.6,36,No
Albury,16.8,42,No
Albury,16.2,44,No
Albury,15.9,59,No
Albury,15.7,47,No
Albury,15.8,56,No
Albury,18.3,42,No
Albury,20.4,31,No
Albury,19.6,44,No
Albury,16.8,68,No
Albury,21.4,52,Yes
Albury,18.8,71,Yes
Albury,14.4,44,No
Albury,15.9,38,No
Albury,14,47,No
Albury,NaN,47,No
Albury,NaN,NaN,NaN
Albury,NaN,NaN,NaN
Albury,15.8,47,NaN
Albury,20.8,42,NaN
Albury,17.2,33,No
Albury,20.8,50,No
Albury,21.7,52,No
Albury,23.9,36,No
Albury,26.7,36,No
Albury,13.6,70,No
Albury,18.2,53,Yes
Albury,22.1,36,No
Albury,18.4,39,No
Albury,18.3,39,No
Albury,19.8,36,No
Albury,19.6,37,No
Albury,21.3,44,No
Albury,19.2,93,No
Albury,12.3,89,Yes
Albury,15.5,59,Yes
Albury,13.5,80,Yes
Albury,17.6,47,Yes
Albury,18.3,40,No
Albury,19.3,47,No
Albury,17.8,59,No
Albury,16,80,No
Albury,21.4,53,Yes
Albury,21.8,50,No
Albury,18.6,57,No
Albury,14.4,48,Yes
Albury,16.7,47,NaN
Albury,20.3,31,No
Albury,23.2,47,No
Albury,24.3,54,No
Albury,25.5,53,No
Albury,18.7,34,No
Albury,20.3,29,No
Albury,23.7,35,No
Albury,25.7,42,No
Albury,28,34,No
Albury,24.7,47,No
Albury,25.9,48,No
Albury,30.9,27,No
Albury,28.4,49,No
Albury,20.6,60,Yes
Albury,23.3,46,No
Albury,23.8,43,No
Albury,25.9,56,No
Albury,25,63,Yes
Albury,20.1,54,No
Albury,23.1,41,No
Albury,24.8,39,No
Albury,22.2,51,No
Albury,22.3,29,No
Albury,26.6,36,No
Albury,29.6,36,No
Albury,32.9,44,No
Albury,28.5,47,Yes
Albury,30.1,43,No
Albury,31.2,51,No
Albury,22.8,38,Yes
Albury,25.3,30,No
Albury,27,32,No
Albury,28.3,32,No
Albury,28.3,31,No
Albury,29.3,29,No
Albury,22,78,No
Albury,27.5,52,No
Albury,31.9,36,No
Albury,29.6,62,No
Albury,22.8,44,No
Albury,23.5,36,No
Albury,22.7,39,Yes
Albury,24.4,30,No
Albury,26,NaN,No
Albury,20,NaN,Yes
Albury,25,NaN,Yes
Albury,27,NaN,Yes
Albury,31.5,29,No
Albury,35.9,22,No
Albury,21.6,87,Yes
Albury,22.9,32,Yes
Albury,23.6,38,No
Albury,27.1,34,No
Albury,22.9,35,No
Albury,22.5,35,No
Albury,25,36,No
Albury,26.6,38,No
Albury,29,37,No
Albury,29.1,32,No
Albury,25.1,58,No
Albury,28.3,55,Yes
Albury,26.7,43,No
Albury,24.6,36,No
Albury,25,36,No
Albury,27.7,35,No
Albury,28.9,43,No
Albury,30.7,35,No
Albury,25.6,50,No
Albury,27.8,47,Yes
Albury,29.9,37,No
Albury,28.5,47,No
Albury,29.6,42,No
Albury,31.3,33,No
Albury,33.1,34,No
Albury,26.6,93,Yes
Albury,29.4,48,Yes
Albury,29,45,No
Albury,29.4,40,No
Albury,29.7,28,No
Albury,30.4,33,No
Albury,31.8,36,No
Albury,34.9,27,No
Albury,36,30,No
Albury,38.9,21,No
Albury,32.5,41,No
Albury,30.6,23,No
Albury,29.2,21,No
Albury,33.4,19,No
Albury,26.1,85,Yes
Albury,24.6,33,Yes
Albury,24.8,30,No
Albury,19.5,34,No
Albury,25,34,Yes
Albury,28.3,31,No
Albury,29.4,26,No
Albury,31,37,No
Albury,31.6,30,No
Albury,33.4,30,No
Albury,30.7,55,No
Albury,36.1,26,No
Albury,36.2,23,No
Albury,35.3,28,No
Albury,33,29,No
Albury,32.1,23,No
Albury,32.8,30,No
Albury,35.5,18,No
Albury,36.4,24,No
Albury,35.4,29,No
Albury,34.5,29,No
Albury,36,28,No
Albury,29.1,69,Yes
Albury,27.9,33,Yes
Albury,28.5,38,No
Albury,29.4,32,No
Albury,29.8,39,No
Albury,32.5,32,No
Albury,33.5,29,No
Albury,25.6,29,Yes
Albury,28.1,29,No
Albury,28.9,25,No
Albury,24.6,57,No
Albury,27.4,43,Yes
Albury,27.8,42,No
Albury,29.4,36,Yes
Albury,29.7,30,No
Albury,31.4,34,No
